ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;11;7;5:00;70
LEMD_DCL;11;7;6:00;72
LEMD_DCL;11;7;7:00;72
LEMD_DCL;11;7;8:00;80
LEMD_DCL;11;7;9:00;82
LEMD_DCL;11;7;10:00;75
LEMD_DCL;11;7;11:00;66
LEMD_DCL;11;7;12:00;89
LEMD_DCL;11;7;13:00;96
LEMD_DCL;11;7;14:00;75
LEMD_DCL;11;7;15:00;47
LEMD_DCL;11;7;16:00;62
LEMD_DCL;11;7;17:00;72
LEMD_DCL;11;7;18:00;80
LEMD_DCL;11;7;19:00;74
LEMD_DCL;11;7;20:00;70
LEMD_DCL;11;7;21:00;50
LEMD_DCL;11;7;22:00;20
LEMD_DCL;11;7;23:00;5
LEMD_DCL;12;7;0:00;2
LEMD_DCL;12;7;1:00;2
LEMD_DCL;12;7;2:00;5
LEMD_DCL;12;7;3:00;16
LEMD_DCL;12;7;4:00;45
LEMD_DCL;12;7;5:00;73
LEMD_DCL;12;7;6:00;66
LEMD_DCL;12;7;7:00;74
LEMD_DCL;12;7;8:00;87
LEMD_DCL;12;7;9:00;82
LEMD_DCL;12;7;10:00;76
LEMD_DCL;12;7;11:00;69
LEMD_DCL;12;7;12:00;91
LEMD_DCL;12;7;13:00;94
LEMD_DCL;12;7;14:00;82
LEMD_DCL;12;7;15:00;49
LEMD_DCL;12;7;16:00;68
LEMD_DCL;12;7;17:00;68
LEMD_DCL;12;7;18:00;71
LEMD_DCL;12;7;19:00;71
LEMD_DCL;12;7;20:00;68
LEMD_DCL;12;7;21:00;49
LEMD_DCL;12;7;22:00;19
LEMD_DCL;12;7;23:00;3
LEMD_DCL;13;7;0:00;3
LEMD_DCL;13;7;1:00;2
LEMD_DCL;13;7;2:00;7
LEMD_DCL;13;7;3:00;9
LEMD_DCL;13;7;4:00;43
LEMD_DCL;13;7;5:00;59
LEMD_DCL;13;7;6:00;60
LEMD_DCL;13;7;7:00;71
LEMD_DCL;13;7;8:00;83
LEMD_DCL;13;7;9:00;71
LEMD_DCL;13;7;10:00;72
LEMD_DCL;13;7;11:00;67
LEMD_DCL;13;7;12:00;84
LEMD_DCL;13;7;13:00;91
LEMD_DCL;13;7;14:00;65
LEMD_DCL;13;7;15:00;40
LEMD_DCL;13;7;16:00;60
LEMD_DCL;13;7;17:00;59
LEMD_DCL;13;7;18:00;56
LEMD_DCL;13;7;19:00;62
LEMD_DCL;13;7;20:00;48
LEMD_DCL;13;7;21:00;44
LEMD_DCL;13;7;22:00;20
LEMD_DCL;13;7;23:00;5
LEMD_DCL;14;7;0:00;4
LEMD_DCL;14;7;1:00;4
LEMD_DCL;14;7;2:00;2
LEMD_DCL;14;7;3:00;7
LEMD_DCL;14;7;4:00;39
LEMD_DCL;14;7;5:00;54
LEMD_DCL;14;7;6:00;60
LEMD_DCL;14;7;7:00;60
LEMD_DCL;14;7;8:00;76
LEMD_DCL;14;7;9:00;74
LEMD_DCL;14;7;10:00;66
LEMD_DCL;14;7;11:00;68
LEMD_DCL;14;7;12:00;85
LEMD_DCL;14;7;13:00;98
LEMD_DCL;14;7;14:00;79
LEMD_DCL;14;7;15:00;47
LEMD_DCL;14;7;16:00;67
LEMD_DCL;14;7;17:00;70
LEMD_DCL;14;7;18:00;72
LEMD_DCL;14;7;19:00;71
LEMD_DCL;14;7;20:00;67
LEMD_DCL;14;7;21:00;51
LEMD_DCL;14;7;22:00;21
LEMD_DCL;14;7;23:00;5
LEMD_DCL;15;7;0:00;3
LEMD_DCL;15;7;1:00;2
LEMD_DCL;15;7;2:00;8
LEMD_DCL;15;7;3:00;12
LEMD_DCL;15;7;4:00;43
LEMD_DCL;15;7;5:00;72
LEMD_DCL;15;7;6:00;68
LEMD_DCL;15;7;7:00;79
LEMD_DCL;15;7;8:00;86
LEMD_DCL;15;7;9:00;80
LEMD_DCL;15;7;10:00;82
LEMD_DCL;15;7;11:00;68
LEMD_DCL;15;7;12:00;88
LEMD_DCL;15;7;13:00;97
LEMD_DCL;15;7;14:00;76
LEMD_DCL;15;7;15:00;54
LEMD_DCL;15;7;16:00;73
LEMD_DCL;15;7;17:00;68
LEMD_DCL;15;7;18:00;76
LEMD_DCL;15;7;19:00;73
LEMD_DCL;15;7;20:00;62
LEMD_DCL;15;7;21:00;47
LEMD_DCL;15;7;22:00;21
LEMD_DCL;15;7;23:00;4
LEMD_DCL;16;7;0:00;2
LEMD_DCL;16;7;1:00;3
LEMD_DCL;16;7;2:00;7
LEMD_DCL;16;7;3:00;17
LEMD_DCL;16;7;4:00;45
LEMD_DCL;16;7;5:00;74
LEMD_DCL;16;7;6:00;68
LEMD_DCL;16;7;7:00;80
LEMD_DCL;16;7;8:00;85
LEMD_DCL;16;7;9:00;79
LEMD_DCL;16;7;10:00;73
LEMD_DCL;16;7;11:00;69
LEMD_DCL;16;7;12:00;79
LEMD_DCL;16;7;13:00;92
LEMD_DCL;16;7;14:00;71
LEMD_DCL;16;7;15:00;45
LEMD_DCL;16;7;16:00;68
LEMD_DCL;16;7;17:00;75
LEMD_DCL;16;7;18:00;82
LEMD_DCL;16;7;19:00;68
LEMD_DCL;16;7;20:00;67
LEMD_DCL;16;7;21:00;51
LEMD_DCL;16;7;22:00;16
LEMD_DCL;16;7;23:00;6
LEMD_DCL;17;7;0:00;3
LEMD_DCL;17;7;1:00;2
LEMD_DCL;17;7;2:00;4
LEMD_DCL;17;7;3:00;17
LEMD_DCL;17;7;4:00;47
LEMD_DCL;17;7;5:00;69
LEMD_DCL;17;7;6:00;73
